,Correlation,p_value,Adj_rsquared,Field_A,Field_B
131,0.6627835625186256,4.8528824252243844e-05,0.4199469490464286,principal_direction_extents_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean
132,0.6435103021110874,9.413946765778854e-05,0.39390225061010664,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean
133,0.5732578136323516,0.0007490136496409227,0.3054736423005625,section_branch_orders_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean
134,0.6637263864010094,4.692428192488547e-05,0.421240740694768,section_branch_orders_NeuriteType_axon_mean,number_of_bifurcations_NeuriteType_all_value
135,0.6793988837371961,2.636273356224887e-05,0.44301673436898104,section_branch_orders_NeuriteType_axon_mean,number_of_forking_points_NeuriteType_all_value
136,0.6852675173016808,2.1053660461390788e-05,0.45130162441600985,section_branch_orders_NeuriteType_axon_mean,number_of_sections_NeuriteType_all_value
137,0.6862783742228062,2.0243294156120966e-05,0.4527358692336878,section_branch_orders_NeuriteType_axon_mean,number_of_terminations_NeuriteType_all_value
138,0.7729023738339235,1.3553805551812158e-07,0.5843902755903114,section_branch_orders_NeuriteType_axon_mean,total_length_NeuriteType_all_value
139,0.7772322775199132,1.6774596995199803e-07,0.5908930136594177,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean
140,0.6218784379849248,0.00014499167574576834,0.3662905513515886,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean
141,0.6237573849995658,0.0001365518409322927,0.3687090511862128,section_branch_orders_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean
142,0.6314656407759186,0.00010633246882776251,0.3787071506632256,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean
143,0.7367711603696496,2.2889555688222943e-06,0.5270673200887304,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean
144,0.5998201077822592,0.00028512450908094286,0.3384436337565848,section_path_distances_NeuriteType_axon_mean,total_length_NeuriteType_all_value
145,0.709782909228053,5.383629586409184e-06,0.48725150417331287,section_path_distances_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean
146,0.8541345059145418,5.066868065552024e-10,0.7205306126670074,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean
147,0.7305470303466067,4.573804308697224e-06,0.5170453551035401,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean
148,0.6982946498601657,8.838121077096353e-06,0.4705359319574425,section_radial_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean
149,0.7859667252750691,1.612268933003202e-07,0.6045624412823614,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean
150,0.9945069192212203,5.711838891520731e-31,0.9886788127915122,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_all_value
151,0.9841905597412711,4.1090496799646565e-24,0.9675854264799643,number_of_bifurcations_NeuriteType_all_value,number_of_sections_NeuriteType_all_value
152,0.9679159608841722,1.5046895206675783e-19,0.9347566842454748,number_of_bifurcations_NeuriteType_all_value,number_of_terminations_NeuriteType_all_value
153,0.8047444883579002,2.8331907702246666e-08,0.6358674812604992,number_of_bifurcations_NeuriteType_all_value,total_length_NeuriteType_all_value
154,0.7067923326573465,8.815794058954694e-06,0.4822986912102205,number_of_bifurcations_NeuriteType_all_value,section_branch_orders_NeuriteType_all_mean
155,0.9964368192987653,8.762243214885986e-34,0.992649212682715,number_of_forking_points_NeuriteType_all_value,number_of_sections_NeuriteType_all_value
156,0.9864898533817611,3.9490354051483907e-25,0.9722676385193407,number_of_forking_points_NeuriteType_all_value,number_of_terminations_NeuriteType_all_value
157,0.816046804092234,1.2559889342811888e-08,0.6547967993514536,number_of_forking_points_NeuriteType_all_value,total_length_NeuriteType_all_value
158,0.6901492102716263,1.7393337901640944e-05,0.45824751631574123,number_of_forking_points_NeuriteType_all_value,section_branch_orders_NeuriteType_all_mean
159,0.9967920076970239,1.817863164296182e-34,0.993380783495619,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_all_value
160,0.8260990090100607,5.807780751139998e-09,0.6718542251103188,number_of_sections_NeuriteType_all_value,total_length_NeuriteType_all_value
161,0.667363045946046,4.117132232194747e-05,0.4262483811321216,number_of_sections_NeuriteType_all_value,section_branch_orders_NeuriteType_all_mean
162,0.8301945490839058,4.18199821798605e-09,0.6788637556395838,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_all_value
163,0.6410930025175936,0.00010197196009291267,0.3906899012520929,number_of_terminations_NeuriteType_all_value,section_branch_orders_NeuriteType_all_mean
164,0.6505604276429721,5.5537883906908584e-05,0.40400316568217354,total_length_NeuriteType_all_value,section_branch_orders_NeuriteType_all_mean
165,0.7172729220939595,2.6399550496480882e-06,0.49881852363273016,total_length_NeuriteType_all_value,section_lengths_NeuriteType_all_mean
166,0.7265526126434888,1.691289599840426e-06,0.5126489795500176,total_length_NeuriteType_all_value,section_path_distances_NeuriteType_all_mean
167,-0.783067486099014,7.196663236671995e-08,0.6007170970688301,principal_direction_extents_NeuriteType_all_mean,number_of_neurites_NeuriteType_all_value
168,0.8656708035232742,7.864791731185168e-11,0.741301615558845,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_all_mean
169,0.7644016513059457,5.576402808926121e-07,0.5699757426061276,section_lengths_NeuriteType_all_mean,section_radial_distances_NeuriteType_all_mean
170,0.9238421736768989,1.2715780056909766e-13,0.8484320984800594,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_all_mean
